iter	RMSE
0	15078.37456
1	12099.1222
2	10106.45438
3	8608.840814
4	7674.536432
5	7040.860014
6	6561.28174
7	6218.351332
8	5938.716259
9	5773.389875
10	5575.408168
11	5466.30902
12	5398.756147
13	5271.198147
14	5203.890609
15	5136.697329
16	5072.100969
17	5040.124763
18	4973.36381
19	4918.167264
20	4850.82762
21	4736.356659
22	4705.588304
23	4630.405247
24	4563.53778
25	4508.907656
26	4460.609798
27	4370.422016
28	4308.119615
29	4278.105573
30	4223.670814
31	4157.997075
32	4124.840683
33	4089.428441
34	4068.183863
35	4006.524939
36	3974.305059
37	3930.331155
38	3897.526612
39	3865.543519
40	3778.598771
41	3749.723747
42	3710.849674
43	3667.386615
44	3626.865973
45	3598.445519
46	3572.400867
47	3552.459505
48	3530.261261
49	3517.435665
50	3485.203998
51	3462.526761
52	3448.566694
53	3420.523488
54	3403.441379
55	3360.057216
56	3337.307794
57	3315.335394
58	3296.884084
59	3284.095574
60	3265.407346
61	3255.873768
62	3239.385338
63	3225.605767
64	3213.897763
65	3187.184339
66	3173.152494
67	3156.726906
68	3139.07117
69	3127.68917
70	3103.577995
71	3089.923046
72	3065.503467
73	3037.680689
74	3030.788308
75	3011.596838
76	2976.896709
77	2967.543721
78	2953.02695
79	2945.789666
80	2935.103877
81	2928.146267
82	2909.172559
83	2889.534286
84	2862.715059
85	2842.690097
86	2836.078157
87	2826.656075
88	2817.248483
89	2793.748725
90	2782.936402
91	2774.992381
92	2769.950239
93	2764.507127
94	2753.012493
95	2737.010803
96	2733.716936
97	2722.998441
98	2716.173725
99	2702.765909
