iter	Passed	Remaining
0	2	257
1	4	216
2	6	204
3	8	209
4	10	206
5	12	201
6	15	212
7	18	210
8	20	210
9	22	203
10	24	195
11	26	191
12	27	186
13	30	189
14	33	187
15	34	182
16	36	177
17	38	173
18	39	169
19	41	166
20	43	162
21	47	167
22	49	164
23	50	160
24	52	156
25	53	152
26	55	149
27	56	145
28	57	141
29	59	138
30	61	136
31	63	133
32	64	131
33	66	128
34	67	125
35	68	122
36	70	119
37	71	116
38	72	114
39	74	111
40	76	109
41	77	107
42	79	105
43	80	102
44	82	100
45	83	98
46	85	95
47	86	93
48	87	91
49	89	89
50	90	86
51	92	85
52	94	83
53	95	81
54	96	79
55	98	77
56	99	75
57	100	73
58	102	71
59	103	69
60	104	67
61	106	65
62	108	63
63	109	61
64	111	59
65	112	58
66	113	56
67	115	54
68	116	52
69	118	50
70	119	48
71	120	47
72	122	45
73	124	43
74	125	41
75	126	40
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	137	28
83	139	26
84	141	24
85	142	23
86	143	21
87	145	19
88	147	18
89	148	16
90	150	14
91	151	13
92	152	11
93	154	9
94	156	8
95	158	6
96	159	4
97	161	3
98	162	1
99	163	0
